grid_id,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9
295,"('Kansas City Royals', 'Seattle Mariners')","('Kansas City Royals', 'Played Outfield min. 1 game')","('Kansas City Royals', 'Only One Team')","('Philadelphia Phillies', 'Seattle Mariners')","('Philadelphia Phillies', 'Played Outfield min. 1 game')","('Philadelphia Phillies', 'Only One Team')","('Chicago  White Sox', 'Seattle Mariners')","('Chicago  White Sox', 'Played Outfield min. 1 game')","('Chicago  White Sox', 'Only One Team')"
296,"('Atlanta Braves', 'Toronto  Blue Jays')","('Atlanta Braves', '300+ HR Career Batting')","('Atlanta Braves', 'Born Outside US 50 States and DC')","('San Francisco Giants', 'Toronto  Blue Jays')","('San Francisco Giants', '300+ HR Career Batting')","('San Francisco Giants', 'Born Outside US 50 States and DC')","('Tampa Bay Rays', 'Toronto  Blue Jays')","('Tampa Bay Rays', '300+ HR Career Batting')","('Tampa Bay Rays', 'Born Outside US 50 States and DC')"
297,"('Chicago Cubs', 'Milwaukee Brewers')","('Chicago Cubs', 'Played Third Base min. 1 game')","('Chicago Cubs', '6+ WAR Season')","('Boston   Red Sox', 'Milwaukee Brewers')","('Boston   Red Sox', 'Played Third Base min. 1 game')","('Boston   Red Sox', '6+ WAR Season')","('Houston Astros', 'Milwaukee Brewers')","('Houston Astros', 'Played Third Base min. 1 game')","('Houston Astros', '6+ WAR Season')"
298,"('Pittsburgh Pirates', 'New York Yankees')","('Pittsburgh Pirates', 'St. Louis Cardinals')","('Pittsburgh Pirates', 'MVP')","('Oakland Athletics', 'New York Yankees')","('Oakland Athletics', 'St. Louis Cardinals')","('Oakland Athletics', 'MVP')","('Rookie of the Year', 'New York Yankees')","('Rookie of the Year', 'St. Louis Cardinals')","('Rookie of the Year', 'MVP')"
299,"('Detroit Tigers', 'Minnesota Twins')","('Detroit Tigers', 'Cleveland Guardians')","('Detroit Tigers', 'Played Center Field min. 1 game')","('New York Mets', 'Minnesota Twins')","('New York Mets', 'Cleveland Guardians')","('New York Mets', 'Played Center Field min. 1 game')","('Played Shortstop min. 1 game', 'Minnesota Twins')","('Played Shortstop min. 1 game', 'Cleveland Guardians')","('Played Shortstop min. 1 game', 'Played Center Field min. 1 game')"
300,"('Toronto  Blue Jays', 'Chicago  White Sox')","('Toronto  Blue Jays', 'First Round Draft Pick')","('Toronto  Blue Jays', '.300+ AVG Season Batting')","('Hall of Fame', 'Chicago  White Sox')","('Hall of Fame', 'First Round Draft Pick')","('Hall of Fame', '.300+ AVG Season Batting')","('All Star', 'Chicago  White Sox')","('All Star', 'First Round Draft Pick')","('All Star', '.300+ AVG Season Batting')"
301,"('Los Angeles Dodgers', 'Chicago Cubs')","('Los Angeles Dodgers', '40+ HR Season Batting')","('Los Angeles Dodgers', '200+ Hits Season Batting')","('Baltimore Orioles', 'Chicago Cubs')","('Baltimore Orioles', '40+ HR Season Batting')","('Baltimore Orioles', '200+ Hits Season Batting')","('Cincinnati Reds', 'Chicago Cubs')","('Cincinnati Reds', '40+ HR Season Batting')","('Cincinnati Reds', '200+ Hits Season Batting')"
302,"('Los Angeles Angels', 'Washington Nationals')","('Los Angeles Angels', 'Played First Base min. 1 game')","('Los Angeles Angels', '10+ Win Season Pitching')","('San Diego Padres', 'Washington Nationals')","('San Diego Padres', 'Played First Base min. 1 game')","('San Diego Padres', '10+ Win Season Pitching')","('New York Yankees', 'Washington Nationals')","('New York Yankees', 'Played First Base min. 1 game')","('New York Yankees', '10+ Win Season Pitching')"
303,"('Cleveland Guardians', 'Texas Rangers')","('Cleveland Guardians', '100+ RBI Season Batting')","('Cleveland Guardians', '30+ SB Season')","('Kansas City Royals', 'Texas Rangers')","('Kansas City Royals', '100+ RBI Season Batting')","('Kansas City Royals', '30+ SB Season')","('Atlanta Braves', 'Texas Rangers')","('Atlanta Braves', '100+ RBI Season Batting')","('Atlanta Braves', '30+ SB Season')"
304,"('Pittsburgh Pirates', 'Oakland Athletics')","('Pittsburgh Pirates', 'Gold Glove')","('Pittsburgh Pirates', 'Silver Slugger')","('Philadelphia Phillies', 'Oakland Athletics')","('Philadelphia Phillies', 'Gold Glove')","('Philadelphia Phillies', 'Silver Slugger')","('Detroit Tigers', 'Oakland Athletics')","('Detroit Tigers', 'Gold Glove')","('Detroit Tigers', 'Silver Slugger')"
305,"('Played In Major Negro Lgs', 'Pitched min. 1 game')","('Played In Major Negro Lgs', 'Played Catcher min. 1 game')","('Played In Major Negro Lgs', 'Played Shortstop min. 1 game')","('San Francisco Giants', 'Pitched min. 1 game')","('San Francisco Giants', 'Played Catcher min. 1 game')","('San Francisco Giants', 'Played Shortstop min. 1 game')","('St. Louis Cardinals', 'Pitched min. 1 game')","('St. Louis Cardinals', 'Played Catcher min. 1 game')","('St. Louis Cardinals', 'Played Shortstop min. 1 game')"
306,"('Boston   Red Sox', 'Minnesota Twins')","('Boston   Red Sox', 'New York Mets')","('Boston   Red Sox', '2000+ K Career Pitching')","('Seattle Mariners', 'Minnesota Twins')","('Seattle Mariners', 'New York Mets')","('Seattle Mariners', '2000+ K Career Pitching')","('Houston Astros', 'Minnesota Twins')","('Houston Astros', 'New York Mets')","('Houston Astros', '2000+ K Career Pitching')"
307,"('Milwaukee Brewers', '2000+ Hits Career Batting')","('Milwaukee Brewers', 'Played Second Base min. 1 game')","('Milwaukee Brewers', '100+ Run Season Batting')","('Chicago  White Sox', '2000+ Hits Career Batting')","('Chicago  White Sox', 'Played Second Base min. 1 game')","('Chicago  White Sox', '100+ Run Season Batting')","('Baltimore Orioles', '2000+ Hits Career Batting')","('Baltimore Orioles', 'Played Second Base min. 1 game')","('Baltimore Orioles', '100+ Run Season Batting')"
308,"('Los Angeles Dodgers', 'Oakland Athletics')","('Los Angeles Dodgers', '≤ 3.00 ERA Season')","('Los Angeles Dodgers', 'Threw a No-Hitter')","('Chicago Cubs', 'Oakland Athletics')","('Chicago Cubs', '≤ 3.00 ERA Season')","('Chicago Cubs', 'Threw a No-Hitter')","('Cy Young', 'Oakland Athletics')","('Cy Young', '≤ 3.00 ERA Season')","('Cy Young', 'Threw a No-Hitter')"
309,"('Los Angeles Angels', 'San Diego Padres')","('Los Angeles Angels', '30+ Save Season Pitching')","('Los Angeles Angels', '20+ Win Season Pitching')","('New York Yankees', 'San Diego Padres')","('New York Yankees', '30+ Save Season Pitching')","('New York Yankees', '20+ Win Season Pitching')","('Atlanta Braves', 'San Diego Padres')","('Atlanta Braves', '30+ Save Season Pitching')","('Atlanta Braves', '20+ Win Season Pitching')"
310,"('Texas Rangers', 'Washington Nationals')","('Texas Rangers', 'Played Right Field min. 1 game')","('Texas Rangers', 'Only One Team')","('St. Louis Cardinals', 'Washington Nationals')","('St. Louis Cardinals', 'Played Right Field min. 1 game')","('St. Louis Cardinals', 'Only One Team')","('Seattle Mariners', 'Washington Nationals')","('Seattle Mariners', 'Played Right Field min. 1 game')","('Seattle Mariners', 'Only One Team')"
311,"('Miami Marlins', 'Cincinnati Reds')","('Miami Marlins', '6+ WAR Season')","('Miami Marlins', '30+ HR Season Batting')","('Kansas City Royals', 'Cincinnati Reds')","('Kansas City Royals', '6+ WAR Season')","('Kansas City Royals', '30+ HR Season Batting')","('Cleveland Guardians', 'Cincinnati Reds')","('Cleveland Guardians', '6+ WAR Season')","('Cleveland Guardians', '30+ HR Season Batting')"
312,"('Played In Major Negro Lgs', '.300+ AVG Season Batting')","('Played In Major Negro Lgs', '10+ HR Season Batting')","('Played In Major Negro Lgs', '10+ Win Season Pitching')","('Los Angeles Dodgers', '.300+ AVG Season Batting')","('Los Angeles Dodgers', '10+ HR Season Batting')","('Los Angeles Dodgers', '10+ Win Season Pitching')","('Baltimore Orioles', '.300+ AVG Season Batting')","('Baltimore Orioles', '10+ HR Season Batting')","('Baltimore Orioles', '10+ Win Season Pitching')"
313,"('Pittsburgh Pirates', 'Philadelphia Phillies')","('Pittsburgh Pirates', 'Milwaukee Brewers')","('Pittsburgh Pirates', 'Played Left Field min. 1 game')","('Toronto  Blue Jays', 'Philadelphia Phillies')","('Toronto  Blue Jays', 'Milwaukee Brewers')","('Toronto  Blue Jays', 'Played Left Field min. 1 game')","('Detroit Tigers', 'Philadelphia Phillies')","('Detroit Tigers', 'Milwaukee Brewers')","('Detroit Tigers', 'Played Left Field min. 1 game')"
314,"('Chicago Cubs', 'St. Louis Cardinals')","('Chicago Cubs', '200+ K Season Pitching')","('Chicago Cubs', '40+ WAR Career')","('Born Outside US 50 States and DC', 'St. Louis Cardinals')","('Born Outside US 50 States and DC', '200+ K Season Pitching')","('Born Outside US 50 States and DC', '40+ WAR Career')","('200+ Wins Career Pitching', 'St. Louis Cardinals')","('200+ Wins Career Pitching', '200+ K Season Pitching')","('200+ Wins Career Pitching', '40+ WAR Career')"
315,"('San Francisco Giants', 'Oakland Athletics')","('San Francisco Giants', 'Played Outfield min. 1 game')","('San Francisco Giants', 'First Round Draft Pick')","('Boston   Red Sox', 'Oakland Athletics')","('Boston   Red Sox', 'Played Outfield min. 1 game')","('Boston   Red Sox', 'First Round Draft Pick')","('Arizona Diamondbacks', 'Oakland Athletics')","('Arizona Diamondbacks', 'Played Outfield min. 1 game')","('Arizona Diamondbacks', 'First Round Draft Pick')"
316,"('Cleveland Guardians', 'New York Yankees')","('Cleveland Guardians', 'Played Third Base min. 1 game')","('Cleveland Guardians', 'Played Second Base min. 1 game')","('Colorado Rockies', 'New York Yankees')","('Colorado Rockies', 'Played Third Base min. 1 game')","('Colorado Rockies', 'Played Second Base min. 1 game')","('New York Mets', 'New York Yankees')","('New York Mets', 'Played Third Base min. 1 game')","('New York Mets', 'Played Second Base min. 1 game')"
317,"('San Diego Padres', 'Tampa Bay Rays')","('San Diego Padres', 'Philadelphia Phillies')","('San Diego Padres', 'Silver Slugger')","('Houston Astros', 'Tampa Bay Rays')","('Houston Astros', 'Philadelphia Phillies')","('Houston Astros', 'Silver Slugger')","('Texas Rangers', 'Tampa Bay Rays')","('Texas Rangers', 'Philadelphia Phillies')","('Texas Rangers', 'Silver Slugger')"
318,"('Baltimore Orioles', 'Los Angeles Dodgers')","('Baltimore Orioles', 'Gold Glove')","('Baltimore Orioles', '6+ WAR Season')","('Washington Nationals', 'Los Angeles Dodgers')","('Washington Nationals', 'Gold Glove')","('Washington Nationals', '6+ WAR Season')","('Toronto  Blue Jays', 'Los Angeles Dodgers')","('Toronto  Blue Jays', 'Gold Glove')","('Toronto  Blue Jays', '6+ WAR Season')"
319,"('Played In Major Negro Lgs', 'Hall of Fame')","('Played In Major Negro Lgs', 'All Star')","('Played In Major Negro Lgs', '≤ 3.00 ERA Season')","('Pittsburgh Pirates', 'Hall of Fame')","('Pittsburgh Pirates', 'All Star')","('Pittsburgh Pirates', '≤ 3.00 ERA Season')","('New York Mets', 'Hall of Fame')","('New York Mets', 'All Star')","('New York Mets', '≤ 3.00 ERA Season')"
320,"('Miami Marlins', 'Boston   Red Sox')","('Miami Marlins', 'Detroit Tigers')","('Miami Marlins', 'Played Left Field min. 1 game')","('Atlanta Braves', 'Boston   Red Sox')","('Atlanta Braves', 'Detroit Tigers')","('Atlanta Braves', 'Played Left Field min. 1 game')","('30+ SB Season', 'Boston   Red Sox')","('30+ SB Season', 'Detroit Tigers')","('30+ SB Season', 'Played Left Field min. 1 game')"
321,"('San Francisco Giants', '2000+ Hits Career Batting')","('San Francisco Giants', 'Rookie of the Year')","('San Francisco Giants', '200+ Hits Season Batting')","('100+ Run Season Batting', '2000+ Hits Career Batting')","('100+ Run Season Batting', 'Rookie of the Year')","('100+ Run Season Batting', '200+ Hits Season Batting')","('300+ HR Career Batting', '2000+ Hits Career Batting')","('300+ HR Career Batting', 'Rookie of the Year')","('300+ HR Career Batting', '200+ Hits Season Batting')"
322,"('Minnesota Twins', 'Philadelphia Phillies')","('Minnesota Twins', '2000+ K Career Pitching')","('Minnesota Twins', '200+ K Season Pitching')","('Chicago  White Sox', 'Philadelphia Phillies')","('Chicago  White Sox', '2000+ K Career Pitching')","('Chicago  White Sox', '200+ K Season Pitching')","('Los Angeles Angels', 'Philadelphia Phillies')","('Los Angeles Angels', '2000+ K Career Pitching')","('Los Angeles Angels', '200+ K Season Pitching')"
323,"('Cleveland Guardians', 'Played First Base min. 1 game')","('Cleveland Guardians', 'Played Center Field min. 1 game')","('Cleveland Guardians', 'Born Outside US 50 States and DC')","('Kansas City Royals', 'Played First Base min. 1 game')","('Kansas City Royals', 'Played Center Field min. 1 game')","('Kansas City Royals', 'Born Outside US 50 States and DC')","('Chicago Cubs', 'Played First Base min. 1 game')","('Chicago Cubs', 'Played Center Field min. 1 game')","('Chicago Cubs', 'Born Outside US 50 States and DC')"
324,"('New York Yankees', 'Boston   Red Sox')","('New York Yankees', 'Milwaukee Brewers')","('New York Yankees', 'First Round Draft Pick')","('Texas Rangers', 'Boston   Red Sox')","('Texas Rangers', 'Milwaukee Brewers')","('Texas Rangers', 'First Round Draft Pick')","('Los Angeles Dodgers', 'Boston   Red Sox')","('Los Angeles Dodgers', 'Milwaukee Brewers')","('Los Angeles Dodgers', 'First Round Draft Pick')"
325,"('Cincinnati Reds', 'San Diego Padres')","('Cincinnati Reds', '30+ HR Season Batting')","('Cincinnati Reds', 'Played Second Base min. 1 game')","('St. Louis Cardinals', 'San Diego Padres')","('St. Louis Cardinals', '30+ HR Season Batting')","('St. Louis Cardinals', 'Played Second Base min. 1 game')","('Seattle Mariners', 'San Diego Padres')","('Seattle Mariners', '30+ HR Season Batting')","('Seattle Mariners', 'Played Second Base min. 1 game')"
326,"('Played In Major Negro Lgs', 'Played First Base min. 1 game')","('Played In Major Negro Lgs', 'Played Third Base min. 1 game')","('Played In Major Negro Lgs', 'Played Outfield min. 1 game')","('Baltimore Orioles', 'Played First Base min. 1 game')","('Baltimore Orioles', 'Played Third Base min. 1 game')","('Baltimore Orioles', 'Played Outfield min. 1 game')","('Oakland Athletics', 'Played First Base min. 1 game')","('Oakland Athletics', 'Played Third Base min. 1 game')","('Oakland Athletics', 'Played Outfield min. 1 game')"
327,"('Washington Nationals', 'Pittsburgh Pirates')","('Washington Nationals', '200+ Wins Career Pitching')","('Washington Nationals', '100+ RBI Season Batting')","('Toronto  Blue Jays', 'Pittsburgh Pirates')","('Toronto  Blue Jays', '200+ Wins Career Pitching')","('Toronto  Blue Jays', '100+ RBI Season Batting')","('Los Angeles Angels', 'Pittsburgh Pirates')","('Los Angeles Angels', '200+ Wins Career Pitching')","('Los Angeles Angels', '100+ RBI Season Batting')"
328,"('All Star', 'Only One Team')","('All Star', '.300+ AVG Career Batting')","('All Star', '40+ WAR Career')","('Played Catcher min. 1 game', 'Only One Team')","('Played Catcher min. 1 game', '.300+ AVG Career Batting')","('Played Catcher min. 1 game', '40+ WAR Career')","('Played Shortstop min. 1 game', 'Only One Team')","('Played Shortstop min. 1 game', '.300+ AVG Career Batting')","('Played Shortstop min. 1 game', '40+ WAR Career')"
329,"('Chicago Cubs', 'Houston Astros')","('Chicago Cubs', 'Kansas City Royals')","('Chicago Cubs', 'Boston   Red Sox')","('Cleveland Guardians', 'Houston Astros')","('Cleveland Guardians', 'Kansas City Royals')","('Cleveland Guardians', 'Boston   Red Sox')","('San Francisco Giants', 'Houston Astros')","('San Francisco Giants', 'Kansas City Royals')","('San Francisco Giants', 'Boston   Red Sox')"
330,"('Minnesota Twins', 'Atlanta Braves')","('Minnesota Twins', '300+ HR Career Batting')","('Minnesota Twins', '100+ Run Season Batting')","('Cincinnati Reds', 'Atlanta Braves')","('Cincinnati Reds', '300+ HR Career Batting')","('Cincinnati Reds', '100+ Run Season Batting')","('Colorado Rockies', 'Atlanta Braves')","('Colorado Rockies', '300+ HR Career Batting')","('Colorado Rockies', '100+ Run Season Batting')"
331,"('Arizona Diamondbacks', 'Chicago  White Sox')","('Arizona Diamondbacks', 'Texas Rangers')","('Arizona Diamondbacks', '2000+ K Career Pitching')","('St. Louis Cardinals', 'Chicago  White Sox')","('St. Louis Cardinals', 'Texas Rangers')","('St. Louis Cardinals', '2000+ K Career Pitching')","('New York Yankees', 'Chicago  White Sox')","('New York Yankees', 'Texas Rangers')","('New York Yankees', '2000+ K Career Pitching')"
332,"('Oakland Athletics', 'Los Angeles Angels')","('Oakland Athletics', 'New York Mets')","('Oakland Athletics', 'Hall of Fame')","('Detroit Tigers', 'Los Angeles Angels')","('Detroit Tigers', 'New York Mets')","('Detroit Tigers', 'Hall of Fame')","('Baltimore Orioles', 'Los Angeles Angels')","('Baltimore Orioles', 'New York Mets')","('Baltimore Orioles', 'Hall of Fame')"
333,"('Played In Major Negro Lgs', 'Los Angeles Dodgers')","('Played In Major Negro Lgs', 'Cleveland Guardians')","('Played In Major Negro Lgs', 'Born Outside US 50 States and DC')","('Pittsburgh Pirates', 'Los Angeles Dodgers')","('Pittsburgh Pirates', 'Cleveland Guardians')","('Pittsburgh Pirates', 'Born Outside US 50 States and DC')","('All Star', 'Los Angeles Dodgers')","('All Star', 'Cleveland Guardians')","('All Star', 'Born Outside US 50 States and DC')"
334,"('Philadelphia Phillies', 'Milwaukee Brewers')","('Philadelphia Phillies', 'Boston   Red Sox')","('Philadelphia Phillies', '.300+ AVG Season Batting')","('San Diego Padres', 'Milwaukee Brewers')","('San Diego Padres', 'Boston   Red Sox')","('San Diego Padres', '.300+ AVG Season Batting')","('Played Right Field min. 1 game', 'Milwaukee Brewers')","('Played Right Field min. 1 game', 'Boston   Red Sox')","('Played Right Field min. 1 game', '.300+ AVG Season Batting')"
335,"('MVP', '30+ HR / 30+ SB Season Batting')","('MVP', 'Pitched min. 1 game')","('MVP', 'Cy Young')","('Rookie of the Year', '30+ HR / 30+ SB Season Batting')","('Rookie of the Year', 'Pitched min. 1 game')","('Rookie of the Year', 'Cy Young')","('6+ WAR Season', '30+ HR / 30+ SB Season Batting')","('6+ WAR Season', 'Pitched min. 1 game')","('6+ WAR Season', 'Cy Young')"
336,"('San Francisco Giants', 'Chicago Cubs')","('San Francisco Giants', '≤ 3.00 ERA Season')","('San Francisco Giants', 'Played Left Field min. 1 game')","('Tampa Bay Rays', 'Chicago Cubs')","('Tampa Bay Rays', '≤ 3.00 ERA Season')","('Tampa Bay Rays', 'Played Left Field min. 1 game')","('New York Yankees', 'Chicago Cubs')","('New York Yankees', '≤ 3.00 ERA Season')","('New York Yankees', 'Played Left Field min. 1 game')"
337,"('Texas Rangers', 'Miami Marlins')","('Texas Rangers', 'Played Catcher min. 1 game')","('Texas Rangers', '2000+ Hits Career Batting')","('Toronto  Blue Jays', 'Miami Marlins')","('Toronto  Blue Jays', 'Played Catcher min. 1 game')","('Toronto  Blue Jays', '2000+ Hits Career Batting')","('Atlanta Braves', 'Miami Marlins')","('Atlanta Braves', 'Played Catcher min. 1 game')","('Atlanta Braves', '2000+ Hits Career Batting')"
338,"('Minnesota Twins', 'Chicago  White Sox')","('Minnesota Twins', 'Washington Nationals')","('Minnesota Twins', '40+ WAR Career')","('Baltimore Orioles', 'Chicago  White Sox')","('Baltimore Orioles', 'Washington Nationals')","('Baltimore Orioles', '40+ WAR Career')","('Oakland Athletics', 'Chicago  White Sox')","('Oakland Athletics', 'Washington Nationals')","('Oakland Athletics', '40+ WAR Career')"
339,"('Los Angeles Dodgers', 'Detroit Tigers')","('Los Angeles Dodgers', 'Played Third Base min. 1 game')","('Los Angeles Dodgers', '100+ RBI Season Batting')","('San Diego Padres', 'Detroit Tigers')","('San Diego Padres', 'Played Third Base min. 1 game')","('San Diego Padres', '100+ RBI Season Batting')","('Pittsburgh Pirates', 'Detroit Tigers')","('Pittsburgh Pirates', 'Played Third Base min. 1 game')","('Pittsburgh Pirates', '100+ RBI Season Batting')"
340,"('New York Yankees', 'Seattle Mariners')","('New York Yankees', 'Kansas City Royals')","('New York Yankees', 'Played Shortstop min. 1 game')","('Boston   Red Sox', 'Seattle Mariners')","('Boston   Red Sox', 'Kansas City Royals')","('Boston   Red Sox', 'Played Shortstop min. 1 game')","('First Round Draft Pick', 'Seattle Mariners')","('First Round Draft Pick', 'Kansas City Royals')","('First Round Draft Pick', 'Played Shortstop min. 1 game')"
341,"('Cleveland Guardians', 'Chicago Cubs')","('Cleveland Guardians', '3000+ K Career Pitching')","('Cleveland Guardians', '.300+ AVG Season Batting')","('New York Mets', 'Chicago Cubs')","('New York Mets', '3000+ K Career Pitching')","('New York Mets', '.300+ AVG Season Batting')","('Texas Rangers', 'Chicago Cubs')","('Texas Rangers', '3000+ K Career Pitching')","('Texas Rangers', '.300+ AVG Season Batting')"
342,"('Los Angeles Angels', 'Colorado Rockies')","('Los Angeles Angels', 'Gold Glove')","('Los Angeles Angels', '30+ SB Season')","('200+ Hits Season Batting', 'Colorado Rockies')","('200+ Hits Season Batting', 'Gold Glove')","('200+ Hits Season Batting', '30+ SB Season')","('40+ HR Season Batting', 'Colorado Rockies')","('40+ HR Season Batting', 'Gold Glove')","('40+ HR Season Batting', '30+ SB Season')"
343,"('Philadelphia Phillies', 'Washington Nationals')","('Philadelphia Phillies', 'San Francisco Giants')","('Philadelphia Phillies', '≤ 3.00 ERA Season')","('Detroit Tigers', 'Washington Nationals')","('Detroit Tigers', 'San Francisco Giants')","('Detroit Tigers', '≤ 3.00 ERA Season')","('Toronto  Blue Jays', 'Washington Nationals')","('Toronto  Blue Jays', 'San Francisco Giants')","('Toronto  Blue Jays', '≤ 3.00 ERA Season')"
344,"('San Francisco Giants', 'Cincinnati Reds')","('San Francisco Giants', 'Baltimore Orioles')","('San Francisco Giants', '300+ HR Career Batting')","('Houston Astros', 'Cincinnati Reds')","('Houston Astros', 'Baltimore Orioles')","('Houston Astros', '300+ HR Career Batting')","('Played Center Field min. 1 game', 'Cincinnati Reds')","('Played Center Field min. 1 game', 'Baltimore Orioles')","('Played Center Field min. 1 game', '300+ HR Career Batting')"
345,"('Minnesota Twins', 'Oakland Athletics')","('Minnesota Twins', 'Played Outfield min. 1 game')","('Minnesota Twins', '200+ Wins Career Pitching')","('Texas Rangers', 'Oakland Athletics')","('Texas Rangers', 'Played Outfield min. 1 game')","('Texas Rangers', '200+ Wins Career Pitching')","('Cleveland Guardians', 'Oakland Athletics')","('Cleveland Guardians', 'Played Outfield min. 1 game')","('Cleveland Guardians', '200+ Wins Career Pitching')"
346,"('Milwaukee Brewers', 'St. Louis Cardinals')","('Milwaukee Brewers', 'Only One Team')","('Milwaukee Brewers', 'Hall of Fame')","('Boston   Red Sox', 'St. Louis Cardinals')","('Boston   Red Sox', 'Only One Team')","('Boston   Red Sox', 'Hall of Fame')","('New York Yankees', 'St. Louis Cardinals')","('New York Yankees', 'Only One Team')","('New York Yankees', 'Hall of Fame')"
347,"('Atlanta Braves', 'Kansas City Royals')","('Atlanta Braves', 'Arizona Diamondbacks')","('Atlanta Braves', '100+ Run Season Batting')","('San Diego Padres', 'Kansas City Royals')","('San Diego Padres', 'Arizona Diamondbacks')","('San Diego Padres', '100+ Run Season Batting')","('Played Left Field min. 1 game', 'Kansas City Royals')","('Played Left Field min. 1 game', 'Arizona Diamondbacks')","('Played Left Field min. 1 game', '100+ Run Season Batting')"
348,"('Chicago  White Sox', 'Washington Nationals')","('Chicago  White Sox', 'Los Angeles Angels')","('Chicago  White Sox', 'Silver Slugger')","('San Francisco Giants', 'Washington Nationals')","('San Francisco Giants', 'Los Angeles Angels')","('San Francisco Giants', 'Silver Slugger')","('All Star', 'Washington Nationals')","('All Star', 'Los Angeles Angels')","('All Star', 'Silver Slugger')"
349,"('New York Mets', 'Texas Rangers')","('New York Mets', 'Played Shortstop min. 1 game')","('New York Mets', '30+ HR Season Batting')","('Played Second Base min. 1 game', 'Texas Rangers')","('Played Second Base min. 1 game', 'Played Shortstop min. 1 game')","('Played Second Base min. 1 game', '30+ HR Season Batting')","('30+ SB Season', 'Texas Rangers')","('30+ SB Season', 'Played Shortstop min. 1 game')","('30+ SB Season', '30+ HR Season Batting')"
350,"('Los Angeles Dodgers', 'Houston Astros')","('Los Angeles Dodgers', 'Minnesota Twins')","('Los Angeles Dodgers', 'Seattle Mariners')","('Pittsburgh Pirates', 'Houston Astros')","('Pittsburgh Pirates', 'Minnesota Twins')","('Pittsburgh Pirates', 'Seattle Mariners')","('St. Louis Cardinals', 'Houston Astros')","('St. Louis Cardinals', 'Minnesota Twins')","('St. Louis Cardinals', 'Seattle Mariners')"
351,"('Tampa Bay Rays', 'Boston   Red Sox')","('Tampa Bay Rays', 'Oakland Athletics')","('Tampa Bay Rays', 'Played Right Field min. 1 game')","('Cincinnati Reds', 'Boston   Red Sox')","('Cincinnati Reds', 'Oakland Athletics')","('Cincinnati Reds', 'Played Right Field min. 1 game')","('2000+ Hits Career Batting', 'Boston   Red Sox')","('2000+ Hits Career Batting', 'Oakland Athletics')","('2000+ Hits Career Batting', 'Played Right Field min. 1 game')"
352,"('Detroit Tigers', 'Chicago Cubs')","('Detroit Tigers', '200+ K Season Pitching')","('Detroit Tigers', '30+ Save Season Pitching')","('Toronto  Blue Jays', 'Chicago Cubs')","('Toronto  Blue Jays', '200+ K Season Pitching')","('Toronto  Blue Jays', '30+ Save Season Pitching')","('Philadelphia Phillies', 'Chicago Cubs')","('Philadelphia Phillies', '200+ K Season Pitching')","('Philadelphia Phillies', '30+ Save Season Pitching')"
353,"('Los Angeles Angels', 'Milwaukee Brewers')","('Los Angeles Angels', 'Miami Marlins')","('Los Angeles Angels', '300+ HR Career Batting')","('Kansas City Royals', 'Milwaukee Brewers')","('Kansas City Royals', 'Miami Marlins')","('Kansas City Royals', '300+ HR Career Batting')","('Played First Base min. 1 game', 'Milwaukee Brewers')","('Played First Base min. 1 game', 'Miami Marlins')","('Played First Base min. 1 game', '300+ HR Career Batting')"
354,"('Los Angeles Dodgers', 'Cleveland Guardians')","('Los Angeles Dodgers', 'Chicago  White Sox')","('Los Angeles Dodgers', '6+ WAR Season')","('San Francisco Giants', 'Cleveland Guardians')","('San Francisco Giants', 'Chicago  White Sox')","('San Francisco Giants', '6+ WAR Season')","('20+ Win Season Pitching', 'Cleveland Guardians')","('20+ Win Season Pitching', 'Chicago  White Sox')","('20+ Win Season Pitching', '6+ WAR Season')"
355,"('Boston   Red Sox', 'Houston Astros')","('Boston   Red Sox', 'Colorado Rockies')","('Boston   Red Sox', 'Threw a No-Hitter')","('Seattle Mariners', 'Houston Astros')","('Seattle Mariners', 'Colorado Rockies')","('Seattle Mariners', 'Threw a No-Hitter')","('First Round Draft Pick', 'Houston Astros')","('First Round Draft Pick', 'Colorado Rockies')","('First Round Draft Pick', 'Threw a No-Hitter')"
356,"('Played Catcher min. 1 game', 'All Star')","('Played Catcher min. 1 game', 'MVP')","('Played Catcher min. 1 game', 'Born Outside US 50 States and DC')","('Played Third Base min. 1 game', 'All Star')","('Played Third Base min. 1 game', 'MVP')","('Played Third Base min. 1 game', 'Born Outside US 50 States and DC')","('Played Center Field min. 1 game', 'All Star')","('Played Center Field min. 1 game', 'MVP')","('Played Center Field min. 1 game', 'Born Outside US 50 States and DC')"
357,"('Philadelphia Phillies', 'Atlanta Braves')","('Philadelphia Phillies', 'Baltimore Orioles')","('Philadelphia Phillies', '40+ WAR Career')","('Pittsburgh Pirates', 'Atlanta Braves')","('Pittsburgh Pirates', 'Baltimore Orioles')","('Pittsburgh Pirates', '40+ WAR Career')","('San Diego Padres', 'Atlanta Braves')","('San Diego Padres', 'Baltimore Orioles')","('San Diego Padres', '40+ WAR Career')"
